"Reference","Value","Digikey","Qty","DNP"
"Y1","CTX853CT-ND","CTX853CT-ND","1",""
"U4","MLX90393SLW-ABA-011-RE","MLX90393SLW-ABA-011-RECT-ND","1",""
"U3","NJM2882F05-TE1","2129-NJM2882F05-TE1CT-ND","1",""
"U2","NCV5501DT33RKG","NCV5501DT33RKGOSCT-ND ","1",""
"U1","STM32F103RET6","497-6444-ND","1",""
"S_R4","10R","RMCF1206FT10R0CT-ND","1",""
"RV1","RK09K1130A5R","PTV09A-4025S-A103-ND","1",""
"Q1","MMBT3904","MMBT3904LT1GOSCT-ND","1",""
"PWR_D1,PWR_D2","LTST-C190EKT","160-1182-1-ND","2",""
"PWR_C5,S_C7","10nF","311-1174-1-ND","2",""
"PWR_C2","4.7uF","1276-3182-1-ND","1",""
"PWR_C1,STM_C6","10uF","  2679-AGC1206X6S250-106KXETR-ND","2",""
"MLX_C3,PWR_C3,STM_C8,STM_C9","1uF","1276-1068-1-ND","4",""
"MLX_C1,MLX_C2,PWR_C4,STM_C1,STM_C3,STM_C4,STM_C5,S_C2,S_C10","100nF","399-C1206C104K5RACTUCT-ND","9",""
"LED_R1,LED_R2,LED_R3,PWR_R1,PWR_R2,PWR_R3,PWR_R4","145R","2019-RN73H2BTTD1450F100CT-ND","7",""
"J1","RF2-03E-T-00-50-G","  2057-RF2-03E-T-00-50-G-ND","1",""
"FB1","ILBB0603ER121V","541-2290-1-ND","1",""
"D1,D2,D3","LTST-C170GKT","160-1179-1-ND","3",""
"CSTL_C1,CSTL_C2","16pF","399-CBR06C160F5GACCT-ND","2",""
"BZ1","SMTB-0927-TW-R","668-SMTB-0927-TW-RCT-ND","1",""
"BUZ_R2,STM_R2","1k5","541-4184-1-ND","2",""
"BUZ_R1","50R","541-TNPW120650R0BEENCT-ND","1",""
"BUZ_D1","BAT54T1G","BAT54T1GOSCT-ND","1",""
"BUT_R1,BUT_R2,BUT_R4,I2C_R1,I2C_R2,MLX_R1,MLX_R2,STM_R3,S_R1","10k","311-10.0KFRCT-ND","9",""
