Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Digikey,LCSC,Description,Sim.Device,Sim.Type,Sim.Pins
"BUT_R1, BUT_R2, BUT_R3, BUT_R4, I2C_R1, I2C_R2, MLX_R1, MLX_R2, STM_R3, S_R1",10,10k,R_0402_1005Metric,,,,smt,311-10KJRCT-ND,C71617,,,,
BUZ_D1,1,BAT54T1G,D_SOD-123,,,,smt,BAT54T1GOSCT-ND,,,,,
BUZ_R1,1,50R,R_1206_3216Metric,,,,smt,541-TNPW120650R0BEENCT-ND,,,,,
"BUZ_R2, STM_R2",2,1k5,R_0402_1005Metric,,,,smt,P1.5KDCCT-ND,,,,,
BZ1,1,SMTB-0927-TW-R,Buzzer_D14mm_H7mm_P10mm,,,,tht,668-SMTB-0927-TW-RCT-ND,,SMTB-0927-TW-R,,,
"CSTL_C1, CSTL_C2",2,16pF,C_0402_1005Metric,,,,smt,478-11769-1-ND,,,,,
"D1, D2, D3",3,LTST-C170GKT,LTST-C170GKT,,,,smt,160-1179-1-ND,,,,,
FB1,1,ILBB0603ER121V,Ferrite_0603,,,,smt,541-2290-1-ND,,120 ohm @ 100 MHz,,,
J1,1,RF2-03E-T-00-50-G,SMA_90deg,,,,tht,  2057-RF2-03E-T-00-50-G-ND,,,,,
J2,1,Conn_01x05_Socket,PinHeader_1x05_P2.00mm_Vertical,,,,tht,,,,,,
J3,1,Conn_01x04,PinHeader_1x04_P2.00mm_Vertical,,,,tht,,,,,,
JP1,1,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,,,,tht,,,,,,
"LED_R1, LED_R2, LED_R3, PWR_R1, PWR_R2, PWR_R3, PWR_R4",7,145R,R_1206_3216Metric,,,,smt,2019-RN73H2BTTD1450F100CT-ND,,,,,
"MLX_A0, MLX_A1",2,jumper,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,,,,tht,,,,,,
"MLX_C1, MLX_C2, PWR_C4, STM_C1, STM_C3, STM_C4, STM_C5, S_C10, S_C2",9,100nF,C_0402_1005Metric,,,,smt,2679-AGC0402X7R500-104KNPTR-ND,,,,,
"MLX_C3, PWR_C3, STM_C8, STM_C9",4,1uF,C_0603_1608Metric,,,,smt,  2679-AGC0603X7R250-105KXPTR-ND,,,,,
"PWR_C1, STM_C6",2,10uF,C_1206_3216Metric,,,,smt,  2679-AGC1206X6S250-106KXETR-ND,,,,,
PWR_C2,1,4.7uF,C_0603_1608Metric,,,,smt,4713-GMC10X7R475K10NTCT-ND,,,,,
"PWR_C5, S_C7",2,10nF,C_0402_1005Metric,,,,smt,  2679-AGC0402X7R500-103KNPTR-ND,,,,,
"PWR_D1, PWR_D2",2,LTST-C190EKT,LTST-C190EKT,,,,smt,160-1182-1-ND,,,,,
PWR_J1,1,Conn_01x02,PinHeader_1x02_P2.00mm_Vertical,,,,tht,,,,,,
Q1,1,MMBT3904,SOT-23,,,,smt,MMBT3904LT1GOSCT-ND,,MMBT3904,NPN,GUMMELPOON,1=C 2=B 3=E
RF1,1,BAT54T1G,RFM22b-S2,,,,smt,BAT54T1GOSCT-ND,,,,,
RV1,1,RK09K1130A5R,Potentiometer_Alps_RK09K_Single_Vertical,,,,tht,,,RK09K1130A5R,,,
"SW1, SW2, SW3, SW4",4,SW_Push,SW_PUSH_6mm_H4.3mm,,,,tht,,,,,,
SW5,1,SW_SPST,SW_1MS02Q_CNK,,,,tht,,,Single Pole Single Throw (SPST) switch,,,
S_R4,1,10R,R_0402_1005Metric,,,,smt,P10.0LCT-ND,,,,,
U1,1,STM32F103RET6,LQFP64-10x10mm,,,,smt,497-6444-ND,,,,,
U2,1,NCV5501DT33RKG,DPAK-3_ONS-M,,,,smt,NCV5501DT33RKGOSCT-ND ,,,,,
U3,1,NJM2882F05-TE1,SOT-23-5,,,,smt,2129-NJM2882F05-TE1CT-ND,,,,,
U4,1,MLX90393SLW-ABA-011-RE,QFN-16_MLX90393_MEL-L,,,,smt,MLX90393SLW-ABA-011-RECT-ND,,,,,
Y1,1,CTX853CT-ND,Crystal,,,,smt,CTX853CT-ND,,406C35D08M00000,,,
