pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
171.244757,-107.912404,180.0,bottom,BUT_R1,,,R_1206_3216Metric,10k,smt
171.370909,-132.816316,180.0,bottom,BUT_R2,,,R_1206_3216Metric,10k,smt
139.706727,-132.163294,0.0,bottom,BUT_R3,,,R_1206_3216Metric,10k,smt
139.350533,-107.853039,0.0,bottom,BUT_R4,,,R_1206_3216Metric,10k,smt
187.54287,-146.127445,180.0,bottom,BUZ_D1,,,D_SOD-123,BAT54T1G,smt
196.699242,-115.422974,180.0,bottom,BUZ_R1,,,R_1206_3216Metric,50R,smt
187.307286,-134.688525,0.0,bottom,BUZ_R2,,,R_1206_3216Metric,1k5,smt
196.287407,-139.324589,180.0,bottom,BZ1,,,Buzzer_D14mm_H7mm_P10mm,SMTB-0927-TW-R,tht
148.869786,-52.985967,180.0,top,CSTL_C1,,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,16pF,smt
148.761119,-58.931564,0.0,top,CSTL_C2,,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,16pF,smt
147.50195,-78.346927,0.0,top,D1,,,D_MiniMELF,SZMMSZ4679T1G,smt
135.05242,-69.037366,90.0,top,D2,,,LTST-C170GKT,LTST-C170GKT,smt
138.338584,-69.059789,90.0,top,D3,,,LTST-C170GKT,LTST-C170GKT,smt
141.662307,-69.037366,90.0,top,D4,,,LTST-C170GKT,LTST-C170GKT,smt
157.084414,-65.718535,90.0,top,FB1,,,Ferrite_0603,ILBB0603ER121V,smt
155.86723,-63.980426,0.0,top,HOLES1,,,Mounting_holes,Mounting_holes,smt
155.23017,-122.915216,0.0,top,HOLES2,,,Mounting_holes,Mounting_holes,smt
155.16175,-125.548492,0.0,top,HOLES3,,,Mounting_holes_big,Mounting_holes_big,smt
160.536657,-49.583176,-90.0,top,I2C_R1,,,R_1206_3216Metric,10k,smt
163.029926,-49.601958,-90.0,top,I2C_R2,,,R_1206_3216Metric,10k,smt
158.952829,-43.114546,180.0,top,IF1,,,CONN10_530481010_MOL,~,tht
157.393039,-99.921615,180.0,top,IF2,,,CONN10_530481010_MOL,~,tht
181.282612,-76.833861,-90.0,top,J1,,,SMA_90deg,RF2-03E-T-00-50-G,tht
183.117816,-48.439839,0.0,top,J2,,,PinHeader_1x05_P2.54mm_Vertical,Conn_01x05_Socket,tht
175.428337,-40.92789,-90.0,top,J3,,,PinHeader_1x02_P2.54mm_Vertical,Conn_01x02_Socket,tht
112.41555,-122.23873,0.0,bottom,J4,,,PinHeader_1x04_P2.54mm_Vertical,Conn_01x04,tht
135.077166,-64.305084,-90.0,top,LED_R1,,,R_1206_3216Metric,145R,smt
138.322256,-64.217872,-90.0,top,LED_R2,,,R_1206_3216Metric,145R,smt
141.587184,-64.21111,-90.0,top,LED_R3,,,R_1206_3216Metric,145R,smt
124.303004,-112.133987,0.0,bottom,LLS_C1,,,C_1206_3216Metric,100nF,smt
124.330134,-119.987997,180.0,bottom,LLS_C2,,,C_1206_3216Metric,100nF,smt
124.358056,-123.003474,180.0,bottom,LLS_R2,,,R_1206_3216Metric,10k,smt
177.27857,-69.693425,0.0,top,MLX_C1,,,C_1206_3216Metric,100nF,smt
177.001094,-62.036645,0.0,top,MLX_C2,,,C_1206_3216Metric,100nF,smt
148.077387,-69.374531,-90.0,top,MLX_C3,,,C_1206_3216Metric,1uF,smt
181.101648,-63.125937,90.0,top,MLX_R1,,,R_1206_3216Metric,10k,smt
181.073615,-68.03654,-90.0,top,MLX_R2,,,R_1206_3216Metric,10k,smt
138.796034,-59.673929,0.0,top,PWR_C1,,,C_1206_3216Metric,10uF,smt
136.310048,-48.570026,180.0,top,PWR_C2,,,C_1206_3216Metric,4.7uF,smt
142.094537,-41.701394,90.0,top,PWR_C3,,,C_1206_3216Metric,1uF,smt
135.026464,-43.963578,90.0,top,PWR_C4,,,C_1206_3216Metric,100nF,smt
142.068536,-46.478548,-90.0,top,PWR_C5,,,C_1206_3216Metric,10nF,smt
142.471913,-58.88323,90.0,top,PWR_D1,,,LTST-C190EKT,LTST-C190EKT,smt
147.367667,-46.473728,90.0,top,PWR_D2,,,LTST-C190EKT,LTST-C190EKT,smt
128.108863,-77.282777,180.0,top,PWR_J1,,,PinHeader_1x02_P2.54mm_Vertical,Conn_01x02,tht
142.46824,-54.526399,-90.0,top,PWR_R1,,,R_1206_3216Metric,145R,smt
144.694659,-41.694324,90.0,top,PWR_R2,,,R_1206_3216Metric,145R,smt
147.289663,-41.713763,-90.0,top,PWR_R3,,,R_1206_3216Metric,145R,smt
144.715543,-46.477763,-90.0,top,PWR_R4,,,R_1206_3216Metric,145R,smt
147.50652,-75.891804,180.0,top,PWR_R5,,,R_1206_3216Metric,100k,smt
187.440594,-138.473976,-90.0,bottom,Q1,,,SOT-23,MMBT3904,smt
147.547661,-81.528035,-90.0,top,Q2,,,SOT-23,NTR4101PT1G,smt
165.534215,-80.785492,180.0,bottom,RF1,,,RFM22b-S2_TH,RFM22B,smt
156.482712,-51.061894,0.0,top,STM_C1,,,C_1206_3216Metric,100nF,smt
160.221298,-68.439425,180.0,top,STM_C3,,,C_1206_3216Metric,100nF,smt
168.273575,-68.339953,180.0,top,STM_C4,,,C_1206_3216Metric,100nF,smt
172.043004,-54.233197,-90.0,top,STM_C5,,,C_1206_3216Metric,100nF,smt
172.225878,-67.176368,90.0,top,STM_C6,,,C_1206_3216Metric,10uF,smt
153.98738,-64.516701,180.0,top,STM_C8,,,C_1206_3216Metric,1uF,smt
153.988978,-66.908813,180.0,top,STM_C9,,,C_1206_3216Metric,1uF,smt
166.660779,-48.387765,180.0,top,STM_R2,,,R_1206_3216Metric,1k5,smt
166.660779,-50.826667,0.0,top,STM_R3,,,R_1206_3216Metric,10k,smt
139.561857,-84.915114,180.0,top,SW5,,,CS12ANW03_NKK,SW_SPDT,tht
150.425699,-63.28896,-90.0,top,S_C10,,,C_1206_3216Metric,100nF,smt
155.331844,-55.099983,90.0,top,S_C2,,,C_1206_3216Metric,100nF,smt
153.998936,-62.136145,180.0,top,S_C7,,,C_1206_3216Metric,10nF,smt
148.058437,-63.2765,90.0,top,S_R1,,,R_1206_3216Metric,10k,smt
